Company,Romaji,Data Count,Label count,Assignee,Time estimate,Description
読売旅行,Yomiuri_Trip,705,,,,
宝力本舗,Houriki_Honpo,696,,,,
キリンビール,Kirin_Beer,695,,,,
ＤＨＣ,DHC,692,,,,
商工会議所,Chamber_Of_Commerce,690,,,,
オリヂナル,Oridjinaru,682,,,,
ジャパンライブラリー,Japan_Library,668,,,,
神奈川新聞社,Kanagawa_Shinbun,667,,,,
アロエ本舗,Aloe_Honpo,661,,,,
宝島社,Takarajimasha,651,,,,
ＪＫＡ,JKA,646,,,,
スポニチプライム,Sponge_Prime,634,,,,
ロゼット,Rosette,634,,,,
ギャガ,Gyaga,623,,,,
扶桑社,Fusousha,619,,,,
ダイヤモンド社,Diamond_Company,615,,,,
岩波書店,Iwanami_Shouten,615,,,,
加茂繊維,Kamo_Fiber,614,,,,
九州国立博物館,Kyushu_National_Museum,604,,,,
協和発酵バイオ,Kyowa_Hakko_Baiyo,603,,,,
日刊スポーツ新聞社,Nikkan_Sport_Shinbun,592,,,,
ハウステンボス,Hausutenbosu,590,,,,
ゆこゆこ,Yuko_Yuko,588,,,,
河合塾,Kawaijuku,586,,,,
インシップ,Inshippu,581,,,,
伊東園ホテルグループ,Itouen_Hotel_Group,577,,,,
アフラック生命保険,Aflac_Life_Insurance,574,,,,
マキノ出版,Makino_Shuppan,572,,,,
マツダデーラー,Mazda_Dealer,570,,,,
プレジデント社,Purejidento_Sha,566,,,,
アサヒビール,Asahi_Beer,563,,,,
ベルコーポレーション,Bell_Corporation,558,,,,
全国通販,Zenkoku_Tsuuhan,548,,,,
サニーヘルス,Sunny_Health,546,,,,
ＢＯＡＴＲＡＣＥ振興会,Boatrace_Promotion_Association,543,,,,
毎日新聞旅行,Mainichi_Shinbun_Ryokou,543,,,,
ＡＣジャパン,AC_Japan,542,,,,
徳間書店,Tokuma_Shoten,540,,,,
ジャンボツアーズ,Jumbo_Tours,528,,,,
三宝堂,Mitsuhodo,526,,,,
日本たばこ産業（ＪＴ）,Japan_Tobacco_Inc,526,,,,
大和製薬,Yamato_Seiyaku,524,,,,
アサヒカルピスウェルネス,Asahi_Calpis_Wellness,520,,,,
琉球新報社,Ryukyusimposha,516,,,,
大江戸温泉物語,Oedo_Onsen_Monogatari,515,,,,
本田ヒルズタワークリニック,Honda_Hills_Tower_Clinic,515,,,,
京都新聞社,Kyoto_Shinbun,513,,,,
三晴社（医療用品・健康グッズ）,Sanseisha,509,,,,
キョードー,Kyodo,503,,,,
積水ハウス,Sekisui_House,502,,,,
西日本旅客鉄道,West_Japan_Railway,501,,,,
フジテレビジョン,Fuji_Television,,,,
脳内核酸,Nucleic_acid,,,,
神戸新聞松方ホール,Kobe_Newspaper_Matsukata_Hall,,,,
